customer_name,email,tel_num,address
"Khách hàng C",365s4c35uc@gmail.com,123456764589,abcdef
"Khách hàng B",265s5c6ub@gmail.com,12368695,abcdef
"Khách hàng A",26fdsshy5udaa@gmail.com,12345645,abcdef
"Khách hàng A",26fdshy5udaa@gmail.com,12345645,abcdef
"Khách hàng A",aaaaaaa@gmail.com,12345645,abcdef
"Khách hàng F",f6535cu4@gmail.com,123445676489,abcdef
"Khách hàng D",46u5c54d@gmail.com,123453676839,abcdef
"Khách hàng C",3654c35uc@gmail.com,123456764589,abcdef
"Khách hàng B",2655c6ub@gmail.com,12368695,abcdef
"Khách hàng W",we5556u@gmail.com,12345647689,abcdef
